FID,Id,x,y,discharge_mean,elev,ups,lat,lon,KG,PB,GB
0,74,4552500,2661500,0.0779316,2747,1,47.0243,13.0436,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
1,75,4553500,2661500,0.0676718,2588,1,47.0239,13.0567,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
2,76,4554500,2661500,0.126662,2322,2,47.0235,13.0699,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
3,182,4551500,2662500,0.0764422,2732,1,47.0336,13.0310,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
4,183,4552500,2662500,0.0653333,2518,1,47.0333,13.0441,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
5,184,4553500,2662500,0.193647,2137,3,47.0329,13.0572,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
6,185,4554500,2662500,0.174648,2002,3,47.0325,13.0704,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
7,186,4555500,2662500,0.0451905,2219,1,47.0321,13.0835,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
8,187,4556500,2662500,0.146272,2111,3,47.0318,13.0967,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
9,188,4557500,2662500,0.0977434,2145,2,47.0314,13.1098,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
10,189,4558500,2662500,0.0497197,2332,1,47.0310,13.1229,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
11,286,4546500,2663500,0.0912453,2673,1,47.0444,12.9658,Bucheben,Rauris,Zell am See
12,287,4547500,2663500,0.176798,2457,2,47.0441,12.9789,Bucheben,Rauris,Zell am See
13,288,4548500,2663500,0.0861156,2554,1,47.0437,12.9921,Bucheben,Rauris,Zell am See
14,290,4550500,2663500,0.0950354,2923,1,47.0430,13.0183,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
15,291,4551500,2663500,0.0714055,2514,1,47.0426,13.0315,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
16,292,4552500,2663500,0.133518,2080,2,47.0423,13.0446,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
17,293,4553500,2663500,0.0463035,1828,1,47.0419,13.0578,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
18,294,4554500,2663500,0.842443,1719,16,47.0415,13.0709,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
19,295,4555500,2663500,0.336397,1905,7,47.0411,13.0840,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
20,296,4556500,2663500,0.23915,2016,5,47.0408,13.0972,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
21,297,4557500,2663500,0.0475431,2244,1,47.0404,13.1103,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
22,298,4558500,2663500,0.107786,2381,2,47.0400,13.1235,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
23,299,4559500,2663500,0.055278,2340,1,47.0396,13.1366,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
24,300,4560500,2663500,0.0549102,2399,1,47.0392,13.1497,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
25,301,4561500,2663500,0.0528218,2593,1,47.0389,13.1629,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
26,340,4491500,2664500,0.0518788,3160,1,47.0708,12.2433,Pr‰graten am Groﬂvenediger,Pr‰graten am Groﬂvenediger,Lienz
27,341,4492500,2664500,0.0526812,3242,1,47.0706,12.2564,Pr‰graten am Groﬂvenediger,Pr‰graten am Groﬂvenediger,Lienz
28,395,4546500,2664500,0.0966302,2689,1,47.0534,12.9663,Bucheben,Rauris,Zell am See
29,396,4547500,2664500,0.429626,2318,5,47.0531,12.9794,Bucheben,Rauris,Zell am See
30,397,4548500,2664500,0.0835331,2368,1,47.0527,12.9926,Bucheben,Rauris,Zell am See
31,398,4549500,2664500,0.0783115,2463,1,47.0523,13.0057,Bucheben,Rauris,Zell am See
32,399,4550500,2664500,0.250049,2349,3,47.0520,13.0189,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
33,400,4551500,2664500,0.070704,2352,1,47.0516,13.0320,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
34,401,4552500,2664500,0.125016,1933,2,47.0512,13.0451,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
35,402,4553500,2664500,1.24954,1621,23,47.0509,13.0583,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
36,403,4554500,2664500,0.0999725,1912,2,47.0505,13.0714,Bˆckstein,Bad Gastein,Sankt Johann im Pongau
